,COUNTER_MEMS,INTERPOLATED_MEMS,Q0,Q1,Q2,Q3,ACCX,ACCY,ACCZ,MAGX,MAGY,MAGZ,img,round
39,19,0,0.472793,0.366394,-0.627686,0.49823,0.938591,-0.283238,-0.049322,-32.482819,-7.999026,75.581253,Car race 3,0
40,20,0,0.472887,0.366272,-0.627686,0.49823,0.938591,-0.274448,-0.046881,-32.461082,-8.102545,75.697479,Car race 3,0
41,21,0,0.472918,0.366211,-0.627747,0.498169,0.9508,-0.264192,-0.055183,-32.498478,-8.064728,75.683289,Car race 3,0
42,22,0,0.472901,0.36615,-0.627747,0.49823,0.9508,-0.264192,-0.055183,-32.528767,-8.034097,75.671799,Car race 3,0
43,23,0,0.472836,0.366089,-0.627686,0.498413,0.948358,-0.278843,-0.048346,-32.728302,-8.184284,75.712494,Car race 3,0
44,24,0,0.472819,0.366028,-0.627686,0.498474,0.948358,-0.278843,-0.048346,-32.788258,-8.357604,75.632118,Car race 3,0
45,25,0,0.472609,0.366028,-0.627747,0.498596,0.939079,-0.279819,-0.053717,-32.770157,-8.426326,75.612015,Car race 3,0
46,26,0,0.472674,0.366028,-0.627747,0.498535,0.939079,-0.279819,-0.053717,-32.785492,-8.33199,75.610733,Car race 3,0
47,27,0,0.472772,0.366089,-0.627686,0.498474,0.94201,-0.270052,-0.053229,-32.771248,-8.190579,75.478027,Car race 3,0
48,28,0,0.472805,0.366089,-0.627563,0.498596,0.94201,-0.270052,-0.053229,-32.759712,-8.076035,75.370537,Car race 3,0
49,29,0,0.472789,0.366089,-0.627625,0.498535,0.953241,-0.269076,-0.060554,-32.713699,-7.991589,75.383469,Car race 3,0
50,30,0,0.472808,0.366211,-0.627441,0.498657,0.950311,-0.279819,-0.060554,-32.683098,-8.149854,75.417274,Car race 3,0
51,31,0,0.473004,0.366272,-0.627258,0.498657,0.937126,-0.285679,-0.048346,-32.916641,-8.161382,75.377991,Car race 3,0
52,0,0,0.473328,0.366333,-0.627075,0.498535,0.937126,-0.285679,-0.048346,-33.105812,-8.170719,75.346176,Car race 3,0
53,1,0,0.473696,0.366211,-0.627014,0.498352,0.939568,-0.283726,-0.050299,-32.962376,-8.186616,75.245399,Car race 3,0
54,2,0,0.473885,0.366028,-0.627075,0.49823,0.939568,-0.283726,-0.050299,-32.846191,-8.199492,75.163773,Car race 3,0
55,3,0,0.474061,0.365967,-0.627075,0.498108,0.954218,-0.266146,-0.048346,-32.86208,-8.096588,75.349327,Car race 3,0
56,4,0,0.474189,0.365906,-0.627014,0.498108,0.954218,-0.266146,-0.048346,-32.874954,-8.013237,75.499619,Car race 3,0
57,5,0,0.474047,0.366089,-0.627014,0.498108,0.935661,-0.254914,-0.041997,-32.70871,-8.140721,75.623024,Car race 3,0
58,6,0,0.474061,0.365967,-0.627075,0.498108,0.935661,-0.254914,-0.041997,-32.394054,-8.153985,75.722984,Car race 3,0
59,7,0,0.473939,0.366272,-0.626892,0.49823,0.935661,-0.254914,-0.041997,-32.54752,-8.089727,75.550613,Car race 3,0
60,8,0,0.473989,0.366394,-0.626831,0.498169,0.936638,-0.279331,-0.048346,-32.571823,-8.154346,75.527664,Car race 3,0
61,9,0,0.473943,0.366516,-0.626892,0.498047,0.936638,-0.279331,-0.048346,-32.498177,-8.171687,75.53241,Car race 3,0
62,10,0,0.473831,0.366577,-0.626892,0.498108,0.94494,-0.262727,-0.054694,-32.205189,-8.2024,75.302917,Car race 3,0
63,11,0,0.473639,0.366638,-0.626953,0.498169,0.94494,-0.262727,-0.054694,-32.291203,-8.493944,75.480362,Car race 3,0
64,12,0,0.473764,0.366394,-0.626953,0.49823,0.941033,-0.271029,-0.055671,-32.262543,-8.376761,75.539093,Car race 3,0
65,13,0,0.473869,0.366028,-0.627136,0.498169,0.941033,-0.271029,-0.055671,-32.19099,-8.270177,75.496666,Car race 3,0
66,14,0,0.473845,0.365723,-0.62738,0.498108,0.949823,-0.270052,-0.052252,-32.229702,-8.295509,75.52063,Car race 3,0
67,15,0,0.473586,0.365662,-0.627563,0.498169,0.949823,-0.270052,-0.052252,-32.236061,-8.32103,75.57338,Car race 3,0
68,16,0,0.473441,0.365662,-0.627625,0.49823,0.929313,-0.273959,-0.066414,-32.274544,-8.208367,75.674438,Car race 3,0
69,17,0,0.473153,0.365723,-0.627563,0.498535,0.94201,-0.268587,-0.048834,-32.410713,-8.205444,75.547958,Car race 3,0
